article_id,difficulty,query
711758367e76a0490bd1b9646a81dd8d,easy,Peugeot-Citroen начнут выпускать в России коммерческие фургоны
711758367e76a0490bd1b9646a81dd8d,medium,PSA запуск производства коммерческих автомобилей в России
711758367e76a0490bd1b9646a81dd8d,hard,Французский автоконцерн расширяет локализацию в России с новыми моделями фургонов
fd20e477c9c7d337a3fd5db6e6100321,easy,Официальная позиция Русской православной церкви по вопросу о подлинности царских останков Патриарх Кирилл
fd20e477c9c7d337a3fd5db6e6100321,medium,Позиция РПЦ по вопросу подлинности останков царской семьи Кирилл Архиерейский Собор
fd20e477c9c7d337a3fd5db6e6100321,hard,Патриарх Кирилл о формировании позиции церкви по результатам исследования екатеринбургских останков
cd7613df8bf1b89a926b9d4708c1d0bc,easy,"Курянин до смерти забил собутыльника, укусившего женщину"
cd7613df8bf1b89a926b9d4708c1d0bc,medium,Житель Курской области убил за укус женщины
cd7613df8bf1b89a926b9d4708c1d0bc,hard,В Курской области мужчина расправился с напарником по пьянке из-за инцидента с женщиной
0c292ceb9e63b4b3ed5c6d7be6f43019,easy,Полицейские задержали мужчину подозреваемого подрыве банкомата Москва
0c292ceb9e63b4b3ed5c6d7be6f43019,medium,Задержан подозреваемый в взрыве банкомата в столице
0c292ceb9e63b4b3ed5c6d7be6f43019,hard,Власти сообщили о задержании подозреваемого в нападении на банковское учреждение в центре Москвы
a7bd3167d8fff552a622130a59935bc2,easy,Эвакуация школы в Аугсбурге из-за угрожающего письма
a7bd3167d8fff552a622130a59935bc2,medium,Школа в Германии эвакуирована из-за сообщения об угрозе теракта
a7bd3167d8fff552a622130a59935bc2,hard,Полиция провела эвакуацию учебного заведения в немецком городе после получения письма с угрозами
a1ee853b79be41891b2f3a8cb9f8b01c,easy,Туристки сняли нападение крокодила на пляже в Австралии видео
a1ee853b79be41891b2f3a8cb9f8b01c,medium,Британские туристки случайно засняли атаку крокодила на пляже Квинсленд
a1ee853b79be41891b2f3a8cb9f8b01c,hard,Видео нападения хищника на отдыхающих на австралийском побережье Кейп Трибьюлейшн
d1e26805019c3a7607fa274388d65927,easy,Принц Гарри и Меган Маркл помолвка объявлено раньше срока
d1e26805019c3a7607fa274388d65927,medium,Британский принц Гарри и канадская актриса Меган Маркл объявили о помолвке
d1e26805019c3a7607fa274388d65927,hard,Королевская семья сообщила о неожиданном решении наследника престола и его партнёрши из мира кино
afd417aa7c784b00bb6155a7422e888a,easy,Финсектор Лондона лишился 37% новых рабочих мест
afd417aa7c784b00bb6155a7422e888a,medium,Снижение новых рабочих мест в лондонском финансовом секторе из-за Brexit
afd417aa7c784b00bb6155a7422e888a,hard,Влияние Brexit на рынок труда в финансовом секторе Лондона: значительное сокращение вакансий
853cc94637ee9f5ac4e5a3e9930de47a,easy,Картины и личные вещи Клода Моне проданы на аукционе в Гонконге
853cc94637ee9f5ac4e5a3e9930de47a,medium,Аукцион в Гонконге: коллекция Моне ушла с молотка за 11 миллионов долларов
853cc94637ee9f5ac4e5a3e9930de47a,hard,Импрессионистские шедевры и личные реликвии художника ушли с молотка в азиатском городе-государстве за баснословную сумму
fb597a857d275065a1d2d50c2c1c3d45,easy,На Сахалине возбудили уголовное дело после смерти трехмесячной девочки в больнице
fb597a857d275065a1d2d50c2c1c3d45,medium,Уголовное дело о халатности в Сахалинской детской больнице из-за смерти младенца
fb597a857d275065a1d2d50c2c1c3d45,hard,Следственный комитет Сахалина начал проверку по факту летального исхода новорожденной в медицинском учреждении
f9394e7276c558e2fb921baac5b8dbf8,easy,Путин поручил Донскому заняться мусором около городов
f9394e7276c558e2fb921baac5b8dbf8,medium,Президент поручил министру природы улучшить утилизацию отходов вокруг городов
f9394e7276c558e2fb921baac5b8dbf8,hard,Глава государства дал указание профильному ведомству решить проблему загрязнения территорий возле крупных населённых пунктов
a77311fbcd131568219123aca7ddf118,easy,Прощание с Дмитрием Хворостовским в концертном зале Чайковского
a77311fbcd131568219123aca7ddf118,medium,Церемония прощания с оперным певцом Хворостовским в Москве
a77311fbcd131568219123aca7ddf118,hard,"Мероприятие в столице, где собрались поклонники, чтобы отдать дань уважения известному артисту, скончавшемуся недавно"
965a2276954361fb9a874aa11f9a7dfb,easy,Чжан Ян самоубийство коррупция
965a2276954361fb9a874aa11f9a7dfb,medium,китайский генерал-полковник самоубийство проверка коррупция
965a2276954361fb9a874aa11f9a7dfb,hard,высокопоставленный военный КНР покончил жизнь из-за обвинений в незаконной деятельности
101caba53752b0a2c949ccdcb08dd528,easy,"Трансильвания ""черный лебедь"" Европа"
101caba53752b0a2c949ccdcb08dd528,medium,"Трансильвания ""горячий"" регион Европы споры Венгрия Румыния"
101caba53752b0a2c949ccdcb08dd528,hard,Перемены границ в Центральной и Восточной Европе и их влияние на национальные меньшинства в XXI веке
da999c0ef256d03620cf40acf137b241,easy,"Артем Анисимов забил 11-й гол в составе ""Чикаго Блэк Хоукс"""
da999c0ef256d03620cf40acf137b241,medium,"Артем Анисимов забросил шайбу в матче ""Чикаго"" против ""Анахайм"""
da999c0ef256d03620cf40acf137b241,hard,"Российский форвард отличился в победном матче ""черных ястребов"" над ""утками"""
e86abd6a12cf69dcb716660dcadaffc6,easy,Джонни Холлидей скончался в возрасте 74 лет
